difficulty,sat,image_index,subject,stim,response,confidence,correct,resp_rt,conf_rt,repeat,mnist_index
difficult,accuracy focus,1,1,2,2,4,1,0.702198584,0.649896375,0,48
difficult,accuracy focus,1,1,2,2,4,1,0.70260825,0.268917375,1,48
difficult,accuracy focus,1,2,2,2,4,1,0.788157708,0.284492,0,48
difficult,accuracy focus,1,2,2,2,4,1,0.971031792,0.264186458,1,48
difficult,accuracy focus,1,3,2,4,1,0,1.450748208,0.488193833,0,48
difficult,accuracy focus,1,3,2,3,4,0,0.970708,0.428919791,1,48
difficult,accuracy focus,1,4,2,2,4,1,0.701576833,0.197865875,0,48
difficult,accuracy focus,1,4,2,3,2,0,0.814672666,0.781909083,1,48
difficult,accuracy focus,1,5,2,2,2,1,1.105983542,0.2643385,0,48
difficult,accuracy focus,1,5,2,2,1,1,1.497341875,0.554770791,1,48
difficult,accuracy focus,1,6,2,4,4,0,1.109141875,0.183526292,0,48
difficult,accuracy focus,1,6,2,2,4,1,0.807046833,0.202232875,1,48
difficult,accuracy focus,1,7,2,2,4,1,0.707890083,0.218281583,0,48
difficult,accuracy focus,1,7,2,4,2,0,0.704809667,0.201505958,1,48
difficult,accuracy focus,1,8,2,1,2,0,2.161828583,0.688801458,0,48
difficult,accuracy focus,1,8,2,2,4,1,1.420415875,0.624822583,1,48
difficult,accuracy focus,1,9,2,3,4,0,0.80931175,0.251901959,0,48
difficult,accuracy focus,1,9,2,3,3,0,1.511496834,0.361488583,1,48
difficult,accuracy focus,1,10,2,2,2,1,1.6298535,1.353329042,0,48
difficult,accuracy focus,1,10,2,2,3,1,0.812303042,0.38421775,1,48
difficult,accuracy focus,1,11,2,2,3,1,0.791519125,1.190417375,0,48
difficult,accuracy focus,1,11,2,3,4,0,1.080536291,2.570745541,1,48
difficult,accuracy focus,1,12,2,2,4,1,1.458633,0.535114583,0,48
difficult,accuracy focus,1,12,2,2,4,1,0.715925458,0.284232125,1,48
difficult,accuracy focus,1,13,2,2,4,1,0.694057709,0.315212208,0,48
difficult,accuracy focus,1,13,2,2,4,1,0.5673445,0.236305166,1,48
difficult,accuracy focus,1,14,2,6,4,0,0.696873,0.218441167,0,48
difficult,accuracy focus,1,14,2,2,4,1,0.588965041,0.202939625,1,48
difficult,accuracy focus,1,15,2,2,4,1,0.889402708,0.152771375,0,48
difficult,accuracy focus,1,15,2,2,4,1,0.689432792,0.118522917,1,48
difficult,accuracy focus,1,16,2,8,2,0,0.81428725,0.55513125,0,48
difficult,accuracy focus,1,16,2,4,4,0,0.772989167,0.185676541,1,48
difficult,accuracy focus,1,17,2,2,4,1,1.030586625,0.426226416,0,48
difficult,accuracy focus,1,17,2,2,2,1,1.089217,0.312552459,1,48
difficult,accuracy focus,1,18,2,2,1,1,1.825752042,1.070631208,0,48
difficult,accuracy focus,1,18,2,7,3,0,0.871308458,0.580032791,1,48
difficult,accuracy focus,1,19,2,2,3,1,0.998323,1.146468167,0,48
difficult,accuracy focus,1,19,2,2,2,1,0.904727042,0.809144667,1,48
difficult,accuracy focus,1,20,2,2,4,1,1.046370375,0.681573667,0,48
difficult,accuracy focus,1,20,2,2,3,1,0.708283,0.504698625,1,48
difficult,accuracy focus,1,21,2,2,3,1,1.906466625,0.350108583,0,48
difficult,accuracy focus,1,21,2,7,3,0,0.842014,0.247570875,1,48
difficult,accuracy focus,1,22,2,1,1,0,1.147115583,0.371536292,0,48
difficult,accuracy focus,1,22,2,2,3,1,0.5476695,0.432808,1,48
difficult,accuracy focus,1,23,2,2,4,1,0.618801834,0.153300458,0,48
difficult,accuracy focus,1,23,2,2,4,1,0.667243167,0.119823875,1,48
difficult,accuracy focus,1,24,2,2,3,1,1.243216459,0.7599565,0,48
difficult,accuracy focus,1,24,2,2,4,1,0.927887667,0.185661333,1,48
difficult,accuracy focus,1,25,2,3,1,0,1.656144333,0.850713709,0,48
difficult,accuracy focus,1,25,2,2,1,1,0.785543667,0.7285355,1,48
difficult,accuracy focus,1,26,2,3,1,0,1.105738417,0.411145375,0,48
difficult,accuracy focus,1,26,2,2,1,1,0.833931792,0.233921917,1,48
difficult,accuracy focus,1,27,2,2,4,1,0.6839175,0.258036708,0,48
difficult,accuracy focus,1,27,2,2,4,1,0.664311709,0.264868333,1,48
difficult,accuracy focus,1,28,2,2,4,1,0.826897375,0.420659542,0,48
difficult,accuracy focus,1,28,2,2,2,1,1.079753375,0.781891292,1,48
difficult,accuracy focus,1,29,2,2,4,1,1.079945584,0.352878709,0,48
difficult,accuracy focus,1,29,2,4,3,0,1.727377708,0.266495125,1,48
difficult,accuracy focus,1,30,2,2,4,1,1.147551125,0.714498208,0,48
difficult,accuracy focus,1,30,2,2,4,1,0.938623208,0.268519625,1,48
difficult,accuracy focus,1,31,2,2,3,1,1.33302675,0.409340834,0,48
difficult,accuracy focus,1,31,2,5,1,0,1.472853291,0.427185708,1,48
difficult,accuracy focus,1,32,2,3,3,0,2.243790417,1.545981542,0,48
difficult,accuracy focus,1,32,2,5,2,0,1.222139708,0.50540425,1,48
difficult,accuracy focus,1,33,2,2,3,1,0.952120042,0.982742125,0,48
difficult,accuracy focus,1,33,2,2,4,1,0.612549542,0.509123833,1,48
difficult,accuracy focus,1,34,2,8,1,0,1.101024208,0.282027959,0,48
difficult,accuracy focus,1,34,2,5,3,0,1.492328458,0.346907917,1,48
difficult,accuracy focus,1,35,2,3,4,0,0.730974417,0.186173834,0,48
difficult,accuracy focus,1,35,2,2,2,1,1.589739125,0.438572083,1,48
difficult,accuracy focus,1,36,2,2,4,1,0.857608417,0.522090125,0,48
difficult,accuracy focus,1,36,2,2,4,1,0.979983916,0.777379958,1,48
difficult,accuracy focus,1,37,2,2,2,1,1.067491833,0.2960425,0,48
difficult,accuracy focus,1,37,2,2,2,1,0.783041583,0.923497125,1,48
difficult,accuracy focus,1,38,2,2,4,1,0.692100417,0.538039417,0,48
difficult,accuracy focus,1,38,2,2,2,1,0.937906666,0.409350917,1,48
difficult,accuracy focus,1,39,2,2,4,1,1.2208055,1.146379166,0,48
difficult,accuracy focus,1,39,2,2,2,1,0.807594292,1.347266209,1,48
difficult,accuracy focus,1,40,2,2,4,1,2.053130375,1.095595166,0,48
difficult,accuracy focus,1,40,2,6,2,0,2.219669042,0.969954875,1,48
difficult,accuracy focus,1,41,2,2,4,1,1.084142041,0.283823708,0,48
difficult,accuracy focus,1,41,2,2,3,1,0.958461333,1.273394417,1,48
difficult,accuracy focus,1,42,2,2,4,1,1.35279025,0.287787958,0,48
difficult,accuracy focus,1,42,2,2,4,1,0.958018833,0.487763125,1,48
difficult,accuracy focus,1,43,2,2,4,1,0.884312917,0.518744375,0,48
difficult,accuracy focus,1,43,2,3,2,0,1.249922834,0.796403875,1,48
difficult,accuracy focus,1,44,2,3,4,0,1.293470959,0.136889167,0,48
difficult,accuracy focus,1,44,2,3,1,0,0.817518417,0.153368875,1,48
difficult,accuracy focus,1,45,2,7,2,0,0.774484417,0.408809375,0,48
difficult,accuracy focus,1,45,2,2,4,1,0.818205958,0.139750666,1,48
difficult,accuracy focus,1,46,2,2,3,1,0.881396375,0.40786175,0,48
difficult,accuracy focus,1,46,2,6,2,0,1.360890208,0.592062,1,48
difficult,accuracy focus,1,47,2,2,4,1,0.76605075,2.814443125,0,48
difficult,accuracy focus,1,47,2,2,1,1,2.647301041,0.189744792,1,48
difficult,accuracy focus,1,48,2,3,3,0,0.748000833,1.049923291,0,48
difficult,accuracy focus,1,48,2,2,3,1,0.620373791,0.553888291,1,48
difficult,accuracy focus,1,49,2,3,4,0,0.677801833,0.681387417,0,48
difficult,accuracy focus,1,49,2,2,4,1,0.55419525,0.26324425,1,48
difficult,accuracy focus,1,50,2,2,4,1,0.733649333,0.174215917,0,48
difficult,accuracy focus,1,50,2,2,4,1,0.850366958,0.200392209,1,48
difficult,accuracy focus,1,51,2,2,4,1,0.6647645,0.123057375,0,48
difficult,accuracy focus,1,51,2,5,4,0,0.902019667,0.427220583,1,48
difficult,accuracy focus,1,52,2,2,3,1,0.94507175,1.321557958,0,48
difficult,accuracy focus,1,52,2,2,4,1,0.775925459,0.739553542,1,48
difficult,accuracy focus,1,53,2,6,1,0,1.108229042,0.2829895,0,48
difficult,accuracy focus,1,53,2,2,4,1,0.677221458,0.172017958,1,48
difficult,accuracy focus,1,54,2,3,1,0,0.994286875,1.034369875,0,48
difficult,accuracy focus,1,54,2,2,4,1,1.106142125,0.283329583,1,48
difficult,accuracy focus,1,55,2,2,4,1,0.86438775,0.409167166,0,48
difficult,accuracy focus,1,55,2,2,3,1,0.870827792,0.52229425,1,48
difficult,accuracy focus,1,56,2,2,4,1,0.825109208,0.126018,0,48
difficult,accuracy focus,1,56,2,2,4,1,0.648396167,0.139599209,1,48
difficult,accuracy focus,1,57,2,2,4,1,0.558007708,0.170268167,0,48
difficult,accuracy focus,1,57,2,2,4,1,0.641613917,0.139833833,1,48
difficult,accuracy focus,1,58,2,2,1,1,0.871989834,0.459031958,0,48
difficult,accuracy focus,1,58,2,2,4,1,1.276161083,0.537103083,1,48
difficult,accuracy focus,1,59,2,2,3,1,1.050988334,1.540013792,0,48
difficult,accuracy focus,1,59,2,4,1,0,1.170361083,0.347120125,1,48
difficult,accuracy focus,1,60,2,2,2,1,0.808617209,0.5214925,0,48
difficult,accuracy focus,1,60,2,2,3,1,0.69427125,0.193368417,1,48
difficult,accuracy focus,1,61,2,2,2,1,0.966152333,0.392701333,0,48
difficult,accuracy focus,1,61,2,2,4,1,0.878892209,0.714248458,1,48
difficult,accuracy focus,1,62,2,3,4,0,0.881967291,0.218030833,0,48
difficult,accuracy focus,1,62,2,4,4,0,0.845647084,0.170684375,1,48
difficult,accuracy focus,1,63,2,2,2,1,1.080288292,0.425270209,0,48
difficult,accuracy focus,1,63,2,2,4,1,0.850042,1.309283459,1,48
difficult,accuracy focus,1,64,2,2,3,1,0.974316875,0.927789333,0,48
difficult,accuracy focus,1,64,2,2,4,1,0.791581541,0.609314583,1,48
difficult,accuracy focus,2,1,2,2,4,1,2.086488542,0.344243875,0,322
difficult,accuracy focus,2,1,2,8,1,0,0.818227375,0.235250042,1,322
difficult,accuracy focus,2,2,2,2,4,1,0.875210833,0.170320917,0,322
difficult,accuracy focus,2,2,2,2,4,1,1.328929833,0.424455875,1,322
difficult,accuracy focus,2,3,2,7,4,0,0.915537875,0.251670417,0,322
difficult,accuracy focus,2,3,2,7,2,0,0.836557416,0.346935458,1,322
difficult,accuracy focus,2,4,2,2,3,1,0.687878833,0.236813042,0,322
difficult,accuracy focus,2,4,2,2,1,1,0.721256083,1.41810325,1,322
difficult,accuracy focus,2,5,2,2,4,1,1.199691833,1.1799525,0,322
difficult,accuracy focus,2,5,2,2,3,1,0.886681583,0.23162375,1,322
difficult,accuracy focus,2,6,2,2,4,1,0.661514209,0.150705333,0,322
difficult,accuracy focus,2,6,2,2,4,1,0.74207075,0.182981625,1,322
difficult,accuracy focus,2,7,2,2,1,1,1.280086208,0.359852875,0,322
difficult,accuracy focus,2,7,2,7,4,0,0.868501334,0.139575166,1,322
difficult,accuracy focus,2,8,2,2,4,1,0.988577583,0.640228375,0,322
difficult,accuracy focus,2,8,2,2,4,1,1.947366625,0.478255917,1,322
difficult,accuracy focus,2,9,2,2,4,1,0.797908125,0.184632375,0,322
difficult,accuracy focus,2,9,2,3,4,0,1.07349275,0.154745416,1,322
difficult,accuracy focus,2,10,2,7,4,0,2.060899416,0.48060475,0,322
difficult,accuracy focus,2,10,2,7,2,0,0.800073333,0.346156833,1,322
difficult,accuracy focus,2,11,2,2,1,1,1.563030417,0.996255542,0,322
difficult,accuracy focus,2,11,2,2,2,1,1.080824792,1.219900541,1,322
difficult,accuracy focus,2,12,2,2,4,1,1.304215916,2.983650542,0,322
difficult,accuracy focus,2,12,2,7,4,0,0.850629833,0.186258375,1,322
difficult,accuracy focus,2,13,2,5,4,0,0.859150583,0.290710375,0,322
difficult,accuracy focus,2,13,2,8,4,0,0.574246625,0.50835475,1,322
difficult,accuracy focus,2,14,2,2,4,1,0.681585833,0.185983125,0,322
difficult,accuracy focus,2,14,2,3,4,0,0.49788425,0.7961205,1,322
difficult,accuracy focus,2,15,2,8,4,0,0.748445292,0.138189292,0,322
difficult,accuracy focus,2,15,2,2,4,1,0.788233042,0.278016584,1,322
difficult,accuracy focus,2,16,2,7,4,0,0.721512,0.200995,0,322
difficult,accuracy focus,2,16,2,2,4,1,0.9355445,0.2959395,1,322
difficult,accuracy focus,2,17,2,2,2,1,1.286165625,0.921696,0,322
difficult,accuracy focus,2,17,2,2,4,1,0.955738958,0.297966417,1,322
difficult,accuracy focus,2,18,2,2,2,1,1.868926417,1.8500355,0,322
difficult,accuracy focus,2,18,2,2,1,1,1.908803375,1.10452325,1,322
difficult,accuracy focus,2,19,2,2,3,1,1.03272975,1.594579834,0,322
difficult,accuracy focus,2,19,2,7,2,0,0.937320541,0.618206875,1,322
difficult,accuracy focus,2,20,2,8,2,0,1.17302575,0.34697,0,322
difficult,accuracy focus,2,20,2,2,1,1,1.225527417,0.330553166,1,322
difficult,accuracy focus,2,21,2,1,1,0,1.054300833,0.267692875,0,322
difficult,accuracy focus,2,21,2,7,1,0,1.09948225,0.491576541,1,322
difficult,accuracy focus,2,22,2,3,1,0,0.798572792,0.595621375,0,322
difficult,accuracy focus,2,22,2,2,3,1,0.539301291,0.963599875,1,322
difficult,accuracy focus,2,23,2,2,3,1,0.887322833,0.946597875,0,322
difficult,accuracy focus,2,23,2,7,1,0,0.709835417,0.534405542,1,322
difficult,accuracy focus,2,24,2,7,4,0,0.917535333,0.268349708,0,322
difficult,accuracy focus,2,24,2,1,1,0,1.005144166,0.385339541,1,322
difficult,accuracy focus,2,25,2,2,4,1,0.803144083,0.416619,0,322
difficult,accuracy focus,2,25,2,5,4,0,0.95100475,0.648464792,1,322
difficult,accuracy focus,2,26,2,2,2,1,3.523662834,0.263352333,0,322
difficult,accuracy focus,2,26,2,3,1,0,1.147366875,0.202446458,1,322
difficult,accuracy focus,2,27,2,2,4,1,0.810009708,0.364905959,0,322
difficult,accuracy focus,2,27,2,8,4,0,1.704552458,0.364581166,1,322
difficult,accuracy focus,2,28,2,2,3,1,1.008336542,3.785174167,0,322
difficult,accuracy focus,2,28,2,2,3,1,0.766928,1.286432167,1,322
difficult,accuracy focus,2,29,2,7,4,0,1.209160083,0.75467875,0,322
difficult,accuracy focus,2,29,2,2,4,1,1.152788625,0.514939708,1,322
difficult,accuracy focus,2,30,2,2,4,1,0.70865075,0.330179417,0,322
difficult,accuracy focus,2,30,2,6,3,0,0.999693291,1.103301625,1,322
difficult,accuracy focus,2,31,2,6,1,0,1.166492458,1.147146458,0,322
difficult,accuracy focus,2,31,2,7,3,0,0.705247042,0.248896292,1,322
difficult,accuracy focus,2,32,2,3,1,0,1.158800917,0.842014167,0,322
difficult,accuracy focus,2,32,2,2,2,1,1.323418875,0.393223583,1,322
difficult,accuracy focus,2,33,2,2,4,1,1.0417185,0.56095125,0,322
difficult,accuracy focus,2,33,2,4,4,0,1.479126333,0.374880167,1,322
difficult,accuracy focus,2,34,2,2,3,1,0.679411209,0.265547833,0,322
difficult,accuracy focus,2,34,2,8,4,0,0.779935708,0.282210292,1,322
difficult,accuracy focus,2,35,2,2,4,1,1.0528355,0.16769275,0,322
difficult,accuracy focus,2,35,2,2,4,1,0.81225275,0.167933,1,322
difficult,accuracy focus,2,36,2,7,2,0,1.496346375,1.560173625,0,322
difficult,accuracy focus,2,36,2,7,2,0,0.946413042,0.827806542,1,322
difficult,accuracy focus,2,37,2,1,1,0,1.276823375,0.249384875,0,322
difficult,accuracy focus,2,37,2,2,2,1,1.09252375,0.63439875,1,322
difficult,accuracy focus,2,38,2,2,2,1,1.152817333,0.540732916,0,322
difficult,accuracy focus,2,38,2,2,4,1,0.694680792,0.3151355,1,322
difficult,accuracy focus,2,39,2,2,2,1,0.827614875,0.321645,0,322
difficult,accuracy focus,2,39,2,5,2,0,1.584215542,4.185835958,1,322
difficult,accuracy focus,2,40,2,6,2,0,2.021662583,0.504857375,0,322
difficult,accuracy focus,2,40,2,2,4,1,0.920188208,0.330709875,1,322
difficult,accuracy focus,2,41,2,2,1,1,1.146532833,0.814800667,0,322
difficult,accuracy focus,2,41,2,7,3,0,0.989937125,0.422555541,1,322
difficult,accuracy focus,2,42,2,7,2,0,1.535914917,0.334617584,0,322
difficult,accuracy focus,2,42,2,7,4,0,0.937136042,0.478619125,1,322
difficult,accuracy focus,2,43,2,2,2,1,1.26816975,0.743321833,0,322
difficult,accuracy focus,2,43,2,7,4,0,0.761931625,0.381615833,1,322
difficult,accuracy focus,2,44,2,2,4,1,0.961542,0.137010417,0,322
difficult,accuracy focus,2,44,2,2,3,1,0.978908583,0.601400291,1,322
difficult,accuracy focus,2,45,2,7,1,0,1.087004542,0.186258416,0,322
difficult,accuracy focus,2,45,2,2,4,1,0.74232625,0.331348375,1,322
difficult,accuracy focus,2,46,2,5,2,0,2.013216875,0.223364917,0,322
difficult,accuracy focus,2,46,2,8,3,0,1.103670292,0.321128583,1,322
difficult,accuracy focus,2,47,2,7,3,0,0.662786709,0.871605125,0,322
difficult,accuracy focus,2,47,2,7,2,0,0.976021833,0.321476209,1,322
difficult,accuracy focus,2,48,2,7,4,0,0.709939792,0.281155208,0,322
difficult,accuracy focus,2,48,2,8,2,0,0.66605525,1.0667805,1,322
difficult,accuracy focus,2,49,2,7,4,0,0.779854125,0.665837541,0,322
difficult,accuracy focus,2,49,2,8,4,0,0.544297959,0.169679875,1,322
difficult,accuracy focus,2,50,2,2,3,1,1.132624667,0.535614167,0,322
difficult,accuracy focus,2,50,2,2,4,1,0.477935083,0.317955584,1,322
